dh,dz,slope
4.693557,-0.315310,-0.067179
4.854472,0.075926,0.015640
4.912523,-0.142483,-0.029004
4.970494,0.081867,0.016471
4.986123,-0.100000,-0.020056
4.939595,-0.124265,-0.025157
4.799191,-0.075735,-0.015781
4.661723,0.174970,0.037533
4.953879,-0.174970,-0.035320
4.963375,0.089244,0.017980
4.976112,-0.078514,-0.015778
4.485984,-0.210730,-0.046975
4.960971,0.130167,0.026238
4.783879,-0.030167,-0.006306
4.708104,-0.100000,-0.021240
4.922511,0.200000,0.040630
4.857447,0.000000,0.000000
4.985054,0.000000,0.000000
4.984958,0.000000,0.000000
4.923012,0.000000,0.000000
2.624755,-0.378938,-0.144371
4.932501,-0.021062,-0.004270
4.958624,0.069848,0.014086
4.929816,-0.257850,-0.052304
4.806177,0.041711,0.008679
4.933381,-0.053709,-0.010887
4.591449,0.479252,0.104379
4.926563,0.078654,0.015965
2.180183,-0.200048,-0.091757
4.200450,-0.757859,-0.180423
4.267611,-1.130554,-0.264915
4.636716,-1.077256,-0.232332
4.824919,-0.106210,-0.022013
4.972894,0.010137,0.002039
4.968278,0.095244,0.019170
4.874208,-0.079140,-0.016236
4.867233,0.087779,0.018035
4.993068,-0.100000,-0.020028
4.643773,0.195959,0.042198
4.929503,0.187259,0.037987
4.756076,0.316781,0.066606
4.957049,0.100000,0.020173
4.574265,0.340146,0.074361
4.707133,-0.040146,-0.008529
4.310026,0.125395,0.029094
1.628136,0.227811,0.139921
4.432069,0.104836,0.023654
4.949101,-0.058042,-0.011728
4.985823,0.000000,0.000000
4.331785,0.151207,0.034906
4.593806,0.224040,0.048770
4.627691,0.208171,0.044984
4.874048,-0.070163,-0.014395
3.906134,0.486744,0.124610
2.543477,-0.048538,-0.019083
2.549581,0.348538,0.136704
2.603533,0.500000,0.192047
2.177186,0.556269,0.255499
4.904744,-0.144214,-0.029403
4.967995,0.125675,0.025297
4.976332,-0.004583,-0.000921
4.922099,0.506720,0.102948
4.794688,-0.346433,-0.072254
4.932057,0.049082,0.009952
4.980577,-0.057044,-0.011453
4.960850,0.059578,0.012010
4.926536,0.154951,0.031452
4.888837,0.200000,0.040910
4.967370,-0.282087,-0.056788
4.949977,0.169879,0.034319
4.989056,0.092337,0.018508
4.963055,0.073646,0.014839
4.969561,0.146225,0.029424
4.950889,-0.102437,-0.020691
4.967336,-0.097563,-0.019641
4.871362,0.061232,0.012570
4.968903,0.078613,0.015821
4.971373,0.024466,0.004921
4.943594,-0.050351,-0.010185
4.785011,-0.313961,-0.065613
4.967674,0.066549,0.013396
4.693274,0.180290,0.038415
4.776723,-0.346839,-0.072610
4.951091,0.193898,0.039163
4.889913,0.404022,0.082624
4.915846,-0.197920,-0.040262
4.946675,0.309434,0.062554
4.944005,-0.032950,-0.006665
4.968995,-0.076484,-0.015392
4.936556,-0.100000,-0.020257
4.963713,0.200000,0.040292
4.887218,-0.075644,-0.015478
4.959476,-0.024356,-0.004911
4.941293,0.214202,0.043349
4.893108,-0.006687,-0.001367
4.899865,-0.207515,-0.042351
4.958662,0.468524,0.094486
4.814467,0.055783,0.011587
4.951672,0.252142,0.050921
4.829387,-0.017058,-0.003532
4.789211,0.008499,0.001775
4.966408,0.182566,0.036760
4.925510,-0.113980,-0.023141
4.893853,0.831966,0.170002
4.886084,-0.671949,-0.137523
4.934673,0.303508,0.061505
4.989947,-0.195713,-0.039221
4.944404,-0.020255,-0.004097
4.950101,-0.081618,-0.016488
4.940335,-0.189923,-0.038443
4.961635,0.073671,0.014848
4.948890,-0.113892,-0.023014
4.968393,-0.091179,-0.018352
4.921142,-0.122358,-0.024864
4.962983,-0.035791,-0.007212
4.988574,-0.022942,-0.004599
4.820436,-0.100000,-0.020745
4.822045,0.184679,0.038299
4.927225,-0.679928,-0.137994
4.977779,0.198335,0.039844
4.969047,-0.081763,-0.016454
4.965335,0.178677,0.035985
4.979824,-0.266389,-0.053494
4.982978,-0.172058,-0.034529
4.987606,-0.055957,-0.011219
4.982660,-0.105596,-0.021193
4.982701,0.186426,0.037415
4.949078,-0.331478,-0.066978
4.962053,0.045052,0.009079
4.978341,0.181569,0.036472
4.958737,-0.291743,-0.058834
3.238372,-0.234677,-0.072468
4.974688,-0.355150,-0.071391
4.997866,0.000000,0.000000
4.974642,-0.200000,-0.040204
4.993761,0.041711,0.008353
4.975879,0.258289,0.051908
4.920839,-0.137852,-0.028014
