dh,dz,slope
1.355921,-1.432592,-1.056544
0.596026,0.937438,1.572813
0.308550,-1.159994,-3.759483
0.203584,0.655148,3.218049
0.447205,-1.000000,-2.236107
1.677224,1.300000,0.775090
0.379948,1.100000,2.895126
4.206107,-0.371663,-0.088363
4.780102,-0.011391,-0.002383
4.990022,0.123272,0.024704
4.988812,0.159782,0.032028
4.975582,0.396245,0.079638
4.967617,0.203755,0.041017
4.988761,-0.100000,-0.020045
4.410613,-0.100000,-0.022673
1.072350,0.200000,0.186506
4.964756,-0.100000,-0.020142
4.975641,-0.036769,-0.007390
4.994613,-0.063231,-0.012660
4.984288,0.000000,0.000000
4.973206,0.000000,0.000000
4.906890,0.000000,0.000000
4.935857,-0.100000,-0.020260
4.883679,0.000000,0.000000
4.906612,-0.100000,-0.020381
4.860919,0.000000,0.000000
1.888925,0.000000,0.000000
4.954927,-0.100000,-0.020182
4.987082,-0.100000,-0.020052
4.882414,-0.014301,-0.002929
4.849364,-0.085699,-0.017672
4.995077,0.000000,0.000000
4.766284,-0.100000,-0.020981
4.986551,0.000000,0.000000
4.688956,0.100000,0.021327
4.974394,0.000000,0.000000
4.988870,-0.099153,-0.019875
4.987062,-0.238018,-0.047727
4.956371,-0.553171,-0.111608
4.908663,-0.539716,-0.109952
4.965065,-0.574143,-0.115637
4.955835,-0.508824,-0.102672
4.985765,-0.336505,-0.067493
4.993837,-0.150470,-0.030131
4.991560,-0.211268,-0.042325
4.990915,-0.288732,-0.057852
4.995365,-0.100000,-0.020019
4.998642,0.000000,0.000000
4.994591,0.000000,0.000000
4.704552,0.000000,0.000000
4.955619,0.000000,0.000000
4.926916,0.100000,0.020297
4.988485,0.000000,0.000000
4.975334,0.100000,0.020099
4.986298,-0.100000,-0.020055
4.233216,-0.300000,-0.070868
3.754725,0.000000,0.000000
3.228247,0.026732,0.008281
4.933804,0.273268,0.055387
3.324234,-0.536677,-0.161444
4.929182,0.036677,0.007441
4.932280,0.000000,0.000000
4.990475,-0.100000,-0.020038
4.929102,0.000000,0.000000
4.968472,0.100000,0.020127
4.971035,-0.133969,-0.026950
4.988336,-0.265328,-0.053190
4.994005,-0.200703,-0.040189
4.933081,0.092613,0.018774
4.952116,0.550916,0.111249
4.974658,0.156471,0.031454
4.965788,0.000000,0.000000
4.945494,0.000000,0.000000
4.985824,-0.155573,-0.031203
4.996980,-0.044427,-0.008891
4.994916,-0.083635,-0.016744
4.991590,0.152750,0.030601
4.995646,0.030885,0.006182
4.934121,0.000000,0.000000
4.990720,-0.100000,-0.020037
4.948070,-0.121652,-0.024586
4.983143,-0.178348,-0.035790
4.667715,-0.100000,-0.021424
4.882418,-0.100000,-0.020482
4.888978,-0.023317,-0.004769
4.990067,-0.076683,-0.015367
4.975449,-0.384345,-0.077248
4.983945,0.030602,0.006140
4.976472,0.412845,0.082959
4.992621,0.140897,0.028221
4.958118,0.100000,0.020169
4.992695,0.000000,0.000000
4.995682,-0.100000,-0.020017
4.999788,0.000000,0.000000
4.999997,0.000000,0.000000
4.975252,0.000000,0.000000
4.978861,0.062928,0.012639
4.993772,0.137072,0.027449
4.944211,0.000000,0.000000
4.981596,0.053705,0.010781
4.995727,0.084849,0.016984
4.992017,0.061446,0.012309
4.993889,0.100000,0.020024
4.974904,0.000000,0.000000
4.963530,0.000000,0.000000
4.978507,0.203429,0.040861
4.992709,0.188635,0.037782
4.985045,0.107936,0.021652
4.998141,0.000000,0.000000
4.998030,0.000000,0.000000
4.998098,-0.046829,-0.009369
4.996044,-0.104748,-0.020966
4.996814,-0.048423,-0.009691
4.992258,-0.200000,-0.040062
4.979833,-0.100000,-0.020081
4.994719,0.100000,0.020021
4.996879,0.000000,0.000000
4.994925,0.000000,0.000000
4.981135,-0.100000,-0.020076
4.988048,-0.100000,-0.020048
4.994451,-0.100000,-0.020022
4.989874,-0.100000,-0.020041
4.984313,0.000000,0.000000
4.990955,-0.100000,-0.020036
4.994254,-0.100000,-0.020023
4.997044,-0.100000,-0.020012
