dh,dz,slope
2.733124,-0.500000,-0.182941
2.006000,0.000000,0.000000
1.432662,0.965313,0.673789
1.748860,-0.888190,-0.507868
3.746559,1.379492,0.368202
3.682080,0.328912,0.089328
4.925829,-0.315170,-0.063983
4.922637,-0.876151,-0.177984
4.922637,-0.876151,-0.177984
4.845673,-0.154205,-0.031823
4.998621,-0.117401,-0.023487
4.998621,-0.117401,-0.023487
4.998621,-0.117401,-0.023487
4.997295,-0.118685,-0.023750
4.997938,-0.143576,-0.028727
4.997938,-0.143576,-0.028727
4.997938,-0.143576,-0.028727
4.981376,-0.227967,-0.045764
4.991435,-0.292531,-0.058606
4.991435,-0.292531,-0.058606
4.991435,-0.292531,-0.058606
4.991435,-0.292531,-0.058606
4.971189,-0.064143,-0.012903
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.791813,0.179888,0.037541
4.992965,0.265145,0.053104
4.992965,0.265145,0.053104
4.918759,0.557157,0.113272
4.829906,1.293061,0.267720
4.432862,1.227769,0.276970
4.868185,1.140516,0.234279
4.868185,1.140516,0.234279
4.800004,1.062912,0.221440
4.887892,1.052859,0.215401
4.887892,1.052859,0.215401
4.925502,0.833944,0.169311
4.948011,0.719152,0.145342
4.948011,0.719152,0.145342
4.894116,0.601800,0.122964
4.987666,0.350984,0.070370
4.987666,0.350984,0.070370
4.987666,0.350984,0.070370
4.987666,0.350984,0.070370
4.987666,0.350984,0.070370
4.932964,0.324286,0.065738
4.989654,0.321496,0.064432
4.989654,0.321496,0.064432
4.989654,0.321496,0.064432
4.783209,0.699971,0.146339
4.897195,1.008704,0.205976
4.545178,0.514849,0.113274
4.998061,0.139242,0.027859
4.998061,0.139242,0.027859
4.324818,0.636074,0.147075
4.926565,0.853789,0.173303
4.926565,0.853789,0.173303
4.374158,0.790245,0.180662
4.970533,0.542031,0.109049
4.910485,0.851096,0.173322
4.865948,1.150023,0.236341
4.143201,0.858361,0.207173
4.770857,0.499830,0.104767
4.965652,0.585068,0.117823
4.965652,0.585068,0.117823
4.965652,0.585068,0.117823
4.965652,0.585068,0.117823
4.965652,0.585068,0.117823
4.932493,0.542433,0.109971
4.972550,0.523205,0.105219
4.972550,0.523205,0.105219
4.972550,0.523205,0.105219
4.944078,0.501973,0.101530
4.990055,0.315198,0.063165
4.990055,0.315198,0.063165
4.990055,0.315198,0.063165
4.979315,0.331974,0.066671
4.964541,0.404650,0.081508
4.974972,0.499658,0.100434
4.958921,0.285951,0.057664
5.000000,0.000000,0.000000
4.996154,0.122608,0.024540
4.990203,0.312850,0.062693
4.990203,0.312850,0.062693
4.990203,0.312850,0.062693
4.990203,0.312850,0.062693
4.997126,0.123834,0.024781
4.998861,0.106707,0.021346
4.998861,0.106707,0.021346
4.998861,0.106707,0.021346
4.985412,0.152720,0.030633
4.990643,0.305753,0.061265
4.990643,0.305753,0.061265
4.990643,0.305753,0.061265
4.990643,0.305753,0.061265
4.976943,0.272188,0.054690
4.993529,0.254297,0.050925
4.993529,0.254297,0.050925
4.993529,0.254297,0.050925
4.915833,0.465364,0.094666
4.969935,0.547488,0.110160
4.969935,0.547488,0.110160
4.891962,0.565209,0.115538
4.961596,0.618513,0.124660
4.961596,0.618513,0.124660
4.961596,0.618513,0.124660
4.961596,0.618513,0.124660
4.911951,0.597536,0.121649
4.966116,0.581109,0.117015
4.966116,0.581109,0.117015
4.966116,0.581109,0.117015
4.582097,0.758059,0.165439
4.900636,0.991849,0.202392
4.900636,0.991849,0.202392
4.898592,0.992291,0.202567
4.866858,1.146161,0.235503
4.866858,1.146161,0.235503
4.759699,1.201791,0.252493
4.738467,1.595911,0.336799
4.738467,1.595911,0.336799
3.953418,1.308006,0.330854
4.860584,1.172486,0.241223
4.860584,1.172486,0.241223
4.724555,1.298746,0.274893
4.823056,1.318381,0.273350
4.796357,0.773744,0.161319
4.974907,0.500295,0.100564
4.974907,0.500295,0.100564
4.974907,0.500295,0.100564
4.971391,0.533918,0.107398
4.970860,0.539031,0.108438
4.970860,0.539031,0.108438
4.970860,0.539031,0.108438
4.968150,0.561253,0.112970
4.964770,0.592505,0.119342
4.964770,0.592505,0.119342
4.964770,0.592505,0.119342
4.955469,0.647344,0.130632
4.944522,0.742769,0.150220
4.944522,0.742769,0.150220
4.944522,0.742769,0.150220
4.796083,0.950883,0.198262
4.855206,1.194558,0.246036
4.855206,1.194558,0.246036
4.899709,0.972466,0.198474
4.930109,0.833081,0.168978
4.930109,0.833081,0.168978
4.925967,0.846805,0.171906
4.911610,0.935999,0.190569
4.911610,0.935999,0.190569
4.911610,0.935999,0.190569
4.901659,0.852292,0.173878
4.935867,0.798257,0.161726
4.935867,0.798257,0.161726
4.935867,0.798257,0.161726
4.935867,0.798257,0.161726
4.945858,0.719431,0.145461
4.952288,0.689089,0.139146
4.952288,0.689089,0.139146
4.952288,0.689089,0.139146
4.931193,0.781702,0.158522
4.923832,0.869408,0.176571
4.923832,0.869408,0.176571
4.923832,0.869408,0.176571
4.227013,1.052072,0.248892
4.872061,1.123843,0.230671
4.933926,0.604517,0.122523
4.994609,0.232126,0.046475
4.941422,0.484206,0.097989
4.932207,0.820573,0.166370
4.932207,0.820573,0.166370
4.440575,0.948237,0.213539
4.883274,1.074077,0.219950
4.883274,1.074077,0.219950
4.896630,0.889646,0.181685
4.928154,0.844572,0.171377
4.928154,0.844572,0.171377
4.909011,0.894253,0.182166
4.903244,0.978874,0.199638
4.903244,0.978874,0.199638
4.902296,0.932933,0.190305
4.924418,0.866088,0.175876
4.924418,0.866088,0.175876
4.919720,0.880498,0.178973
4.875103,1.110576,0.227806
4.875103,1.110576,0.227806
4.875103,1.110576,0.227806
4.944599,0.448164,0.090637
4.998241,0.132623,0.026534
4.998241,0.132623,0.026534
4.998241,0.132623,0.026534
4.957638,0.364805,0.073584
4.970903,0.538632,0.108357
4.970903,0.538632,0.108357
4.970903,0.538632,0.108357
4.970903,0.538632,0.108357
4.968503,0.529138,0.106498
4.976120,0.488090,0.098087
4.976120,0.488090,0.098087
4.976120,0.488090,0.098087
4.916406,0.419348,0.085296
4.993484,0.255171,0.051101
4.993484,0.255171,0.051101
4.993484,0.255171,0.051101
4.943734,0.509433,0.103046
4.965518,0.586200,0.118054
4.965518,0.586200,0.118054
4.965518,0.586200,0.118054
4.977943,0.448037,0.090005
4.990274,0.311709,0.062463
4.990274,0.311709,0.062463
4.990274,0.311709,0.062463
4.987427,0.319055,0.063972
4.913632,0.925323,0.188317
4.913632,0.925323,0.188317
4.913632,0.925323,0.188317
4.908707,0.948411,0.193210
