dh,dz,slope
5.000000,0.000000,0.000000
4.768710,-0.169719,-0.035590
4.989655,-0.321479,-0.064429
4.989655,-0.321479,-0.064429
4.989655,-0.321479,-0.064429
4.989655,-0.321479,-0.064429
4.989655,-0.321479,-0.064429
4.869364,-0.222884,-0.045773
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.954864,-0.250333,-0.050523
4.979300,-0.454510,-0.091280
4.979300,-0.454510,-0.091280
4.979300,-0.454510,-0.091280
4.971092,-0.207423,-0.041726
4.995483,0.212479,0.042534
4.995483,0.212479,0.042534
4.995483,0.212479,0.042534
4.903570,0.183849,0.037493
5.000000,0.000000,0.000000
4.987358,0.027705,0.005555
4.997689,0.152009,0.030416
4.970571,0.337656,0.067931
4.890307,1.041585,0.212990
4.890307,1.041585,0.212990
4.890307,1.041585,0.212990
4.712420,1.111221,0.235807
4.396191,1.110004,0.252492
4.921820,0.861301,0.174996
4.930969,0.827977,0.167914
4.930969,0.827977,0.167914
4.930969,0.827977,0.167914
4.925562,0.815764,0.165618
4.942832,0.753928,0.152530
4.942832,0.753928,0.152530
4.902649,0.495684,0.101105
4.993761,0.249700,0.050002
4.993761,0.249700,0.050002
4.993761,0.249700,0.050002
4.967067,0.164916,0.033202
4.953593,0.193043,0.038970
4.979249,0.455063,0.091392
4.979249,0.455063,0.091392
4.967305,0.414199,0.083385
4.984523,0.393105,0.078865
4.559462,0.464416,0.101858
4.974198,0.507301,0.101987
4.366358,0.479149,0.109737
4.912084,0.336312,0.068466
4.994129,0.242222,0.048501
4.972491,0.118224,0.023776
4.774604,0.394194,0.082560
4.910605,0.707025,0.143979
4.732897,0.436108,0.092144
4.830632,0.557473,0.115404
4.918974,0.896487,0.182251
4.918974,0.896487,0.182251
4.918974,0.896487,0.182251
4.918974,0.896487,0.182251
4.791766,0.790911,0.165056
4.963420,-0.067044,-0.013508
4.962172,0.408629,0.082349
4.903262,0.604088,0.123201
4.867491,0.722527,0.148439
4.953473,0.680517,0.137382
4.953473,0.680517,0.137382
4.962773,0.589774,0.118840
4.988419,0.340112,0.068180
4.988419,0.340112,0.068180
4.985633,0.365660,0.073343
4.982464,0.418391,0.083973
4.982464,0.418391,0.083973
4.981400,0.026669,0.005354
4.959387,0.331977,0.066939
4.977658,0.472143,0.094852
4.982597,0.292652,0.058735
4.997264,0.165387,0.033096
4.997264,0.165387,0.033096
4.997264,0.165387,0.033096
4.997264,0.165387,0.033096
4.997264,0.165387,0.033096
4.995430,0.209597,0.041958
4.993873,0.247453,0.049551
4.993873,0.247453,0.049551
4.993873,0.247453,0.049551
4.991358,0.275650,0.055226
4.990742,0.304125,0.060938
4.961155,0.320534,0.064609
4.988738,0.335400,0.067231
4.988738,0.335400,0.067231
4.988738,0.335400,0.067231
4.998138,0.108831,0.021774
4.999076,0.096115,0.019226
4.886505,0.217785,0.044569
4.984310,0.237806,0.047711
4.994304,0.238609,0.047776
4.994304,0.238609,0.047776
4.978119,0.366572,0.073637
4.981372,0.431198,0.086562
