dh,dz,slope
4.969826,0.548477,0.110361
4.972642,0.419503,0.084362
4.996415,0.189311,0.037889
4.957976,0.395360,0.079742
4.956648,0.384989,0.077671
4.996710,0.181345,0.036293
4.996497,0.182084,0.036442
4.896708,0.592840,0.121069
4.938260,0.647870,0.131194
4.891698,0.753692,0.154076
4.996788,0.146744,0.029368
4.997954,0.143022,0.028616
4.997954,0.143022,0.028616
4.997188,0.150983,0.030214
4.997471,0.158996,0.031815
4.997471,0.158996,0.031815
4.997471,0.158996,0.031815
4.970812,0.484801,0.097529
4.954409,0.606328,0.122381
4.972064,0.410167,0.082494
4.943959,0.409984,0.082926
4.977773,0.398421,0.080040
4.990074,0.314899,0.063105
4.982134,0.299323,0.060079
4.993043,0.263663,0.052806
4.991927,0.260258,0.052136
4.997936,0.143642,0.028740
4.997936,0.143642,0.028740
4.997936,0.143642,0.028740
4.997936,0.143642,0.028740
4.996967,0.134787,0.026974
4.998224,0.133240,0.026657
4.998224,0.133240,0.026657
4.998224,0.133240,0.026657
4.984423,0.158106,0.031720
4.995810,0.204659,0.040966
4.995810,0.204659,0.040966
4.899252,0.578375,0.118054
4.964212,0.348668,0.070236
4.998102,0.137748,0.027560
4.998102,0.137748,0.027560
4.998102,0.137748,0.027560
4.994654,0.153473,0.030727
4.996947,0.174704,0.034962
4.996947,0.174704,0.034962
4.996947,0.174704,0.034962
4.997148,0.161418,0.032302
4.997955,0.142973,0.028606
4.997955,0.142973,0.028606
4.997955,0.142973,0.028606
4.915012,0.163277,0.033220
4.994504,0.234376,0.046927
4.994504,0.234376,0.046927
4.975849,0.220309,0.044276
4.996949,0.174639,0.034949
4.996949,0.174639,0.034949
4.996949,0.174639,0.034949
4.917237,0.362759,0.073773
4.939286,0.504928,0.102227
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.999617,0.061859,0.012373
4.996217,0.111148,0.022246
4.991387,0.293358,0.058773
4.991387,0.293358,0.058773
4.934836,0.703248,0.142507
4.993256,0.259605,0.051991
4.993256,0.259605,0.051991
4.996091,0.186469,0.037323
4.996849,0.177497,0.035522
4.996849,0.177497,0.035522
4.996849,0.177497,0.035522
4.991801,0.149774,0.030004
4.997803,0.148223,0.029658
4.997803,0.148223,0.029658
4.997803,0.148223,0.029658
4.991975,0.180821,0.036222
4.996595,0.184481,0.036921
4.996595,0.184481,0.036921
4.994271,0.191544,0.038353
4.993646,0.251991,0.050462
4.993646,0.251991,0.050462
4.960107,0.372293,0.075057
4.947398,0.533744,0.107884
4.996624,0.183715,0.036768
4.996624,0.183715,0.036768
4.996624,0.183715,0.036768
4.996624,0.183715,0.036768
4.976875,0.414829,0.083351
4.948448,0.373567,0.075492
4.996395,0.189846,0.037997
4.996395,0.189846,0.037997
4.996395,0.189846,0.037997
4.996170,0.191879,0.038405
4.995582,0.210137,0.042065
4.995582,0.210137,0.042065
4.995582,0.210137,0.042065
4.975743,0.346860,0.069710
4.984929,0.387922,0.077819
4.967894,0.466102,0.093823
4.975084,0.498538,0.100207
4.869677,1.112253,0.228404
4.887271,1.044429,0.213704
4.905742,0.958932,0.195471
4.890862,0.944164,0.193047
4.913048,0.773911,0.157521
4.929130,0.819261,0.166208
4.867883,1.131771,0.232498
4.906189,0.823843,0.167919
4.990950,0.300696,0.060248
4.990950,0.300696,0.060248
4.990950,0.300696,0.060248
4.989037,0.330650,0.066275
4.988762,0.335043,0.067160
4.988762,0.335043,0.067160
4.804786,1.045956,0.217690
4.970133,0.545695,0.109795
4.970133,0.545695,0.109795
4.987458,0.247944,0.049713
4.993859,0.247738,0.049609
4.993859,0.247738,0.049609
4.960127,0.503063,0.101421
4.909042,0.934869,0.190438
4.886160,1.049057,0.214700
4.918614,0.880134,0.178939
