dh,dz,slope
4.996962,0.174278,0.034877
4.996962,0.174278,0.034877
4.978326,0.202765,0.040730
4.984632,0.391714,0.078584
4.984632,0.391714,0.078584
4.955663,0.267354,0.053949
4.996880,0.176607,0.035343
4.876257,0.327689,0.067201
4.956386,0.658967,0.132953
4.956604,0.642565,0.129638
4.995386,0.214756,0.042991
4.995386,0.214756,0.042991
4.986600,0.217099,0.043537
4.995243,0.218063,0.043654
4.955597,0.266995,0.053877
4.988714,0.335751,0.067302
4.988714,0.335751,0.067302
4.976453,0.366593,0.073665
4.985714,0.377700,0.075756
4.983604,0.397839,0.079830
4.962950,0.607558,0.122419
4.962950,0.607558,0.122419
4.881016,0.301895,0.061851
4.995274,0.217338,0.043509
4.984890,0.335799,0.067363
4.978542,0.462728,0.092944
4.939107,0.437240,0.088526
4.985272,0.383486,0.076924
4.985272,0.383486,0.076924
4.994855,0.225140,0.045074
4.995112,0.221039,0.044251
4.994359,0.220098,0.044069
4.995170,0.219718,0.043986
4.995199,0.217712,0.043584
4.995370,0.215127,0.043065
4.973360,0.211433,0.042513
4.996672,0.182397,0.036504
4.996672,0.182397,0.036504
4.962050,0.014620,0.002946
4.999313,0.001003,0.000201
4.995161,0.219931,0.044029
4.995161,0.219931,0.044029
4.996047,0.059135,0.011836
5.000000,0.000000,0.000000
4.995867,0.000000,0.000000
5.000000,0.000000,0.000000
4.994040,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.993866,0.000000,0.000000
5.000000,0.000000,0.000000
4.983909,0.110826,0.022237
4.995372,0.215078,0.043056
4.988611,0.137250,0.027513
4.996259,-0.193372,-0.038703
4.996259,-0.193372,-0.038703
4.979393,0.064087,0.012870
4.994602,0.232283,0.046507
4.906034,0.254625,0.051900
4.992060,0.281678,0.056425
4.682810,0.129809,0.027720
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.999670,0.057427,0.011486
4.997834,0.141879,0.028388
4.997913,0.144444,0.028901
4.985048,0.160168,0.032130
4.995044,0.222562,0.044557
4.995044,0.222562,0.044557
4.976914,0.440944,0.088598
4.979591,0.451302,0.090630
4.979136,0.446638,0.089702
4.980159,0.444990,0.089353
4.988352,0.301303,0.060401
4.997666,0.152743,0.030563
4.997666,0.152743,0.030563
4.965827,0.409424,0.082448
4.979997,0.446803,0.089719
4.985520,0.301389,0.060453
4.995257,0.217719,0.043585
4.992646,0.222418,0.044549
4.994633,0.231610,0.046372
4.991600,0.264871,0.053063
4.982583,0.416981,0.083688
4.977866,0.417303,0.083832
4.981278,0.432284,0.086782
4.981278,0.432284,0.086782
4.970588,0.395252,0.079518
4.985542,0.379961,0.076213
4.895668,0.323728,0.066125
4.995413,0.214131,0.042865
4.995308,0.214831,0.043007
4.985074,0.386058,0.077443
4.985074,0.386058,0.077443
4.978256,0.385054,0.077347
4.985261,0.383631,0.076953
4.982116,0.371969,0.074661
4.995521,0.211592,0.042356
4.995521,0.211592,0.042356
4.994681,0.214931,0.043032
4.995318,0.216330,0.043306
4.989696,0.296182,0.059359
4.982389,0.419277,0.084152
4.982081,0.417272,0.083755
4.996731,0.180786,0.036181
4.996731,0.180786,0.036181
4.983117,0.391909,0.078647
4.980062,0.446070,0.089571
4.978436,0.460243,0.092447
4.977705,0.471652,0.094753
4.957390,0.355621,0.071736
4.995829,0.204196,0.040873
4.995829,0.204196,0.040873
4.985182,0.382477,0.076723
4.985144,0.385154,0.077260
4.953577,0.278006,0.056122
4.995161,0.219924,0.044027
4.731390,0.430277,0.090941
4.938639,0.780926,0.158126
2.837948,1.120066,0.394674
4.810517,1.363424,0.283426
4.821737,1.292821,0.268123
4.851798,1.208327,0.249047
4.854777,1.192894,0.245715
4.912982,0.928767,0.189043
4.912349,0.931493,0.189623
4.849821,1.216241,0.250781
4.508092,1.210889,0.268603
4.884528,1.068357,0.218723
4.890688,0.984066,0.201212
4.969116,0.554878,0.111665
4.969116,0.554878,0.111665
4.809253,0.582242,0.121067
4.964163,0.597562,0.120375
4.949677,0.680221,0.137427
4.922889,0.874735,0.177687
4.908647,0.909892,0.185365
4.865135,1.153458,0.237086
4.865135,1.153458,0.237086
4.925235,0.857588,0.174121
4.928105,0.844855,0.171436
4.899195,0.856984,0.174923
4.925146,0.861942,0.175008
4.873378,0.663563,0.136161
4.977908,0.469507,0.094318
4.977917,0.456944,0.091794
4.980949,0.436062,0.087546
4.857953,0.511337,0.105258
4.953876,0.677573,0.136776
4.950466,0.652089,0.131723
4.982558,0.417273,0.083747
4.982558,0.417273,0.083747
4.948110,0.653363,0.132043
4.955156,0.668156,0.134841
4.568200,0.942761,0.206375
4.885767,1.062674,0.217504
4.885767,1.062674,0.217504
4.872733,1.060005,0.217538
4.890546,1.040461,0.212749
4.890546,1.040461,0.212749
4.924670,0.565099,0.114749
4.979152,0.456118,0.091606
