dh,dz,slope
4.996723,0.180993,0.036222
4.900424,0.019007,0.003879
4.980145,0.396862,0.079689
4.911408,0.227787,0.046379
4.956294,0.271099,0.054698
4.922549,0.245375,0.049847
4.788291,0.220046,0.045955
4.959272,0.489659,0.098736
4.903973,0.975217,0.198863
4.963891,0.109608,0.022081
4.898031,0.213207,0.043529
4.960684,0.211276,0.042590
4.970090,-0.268137,-0.053950
4.927905,-0.789121,-0.160133
4.845886,-1.231823,-0.254200
4.991088,-0.071055,-0.014236
4.969148,0.000000,0.000000
4.998444,0.057994,0.011602
4.952636,0.169269,0.034178
4.968813,0.262349,0.052799
4.984404,0.394610,0.079169
4.995494,0.198286,0.039693
4.924661,0.514744,0.104524
4.897311,0.945241,0.193012
4.778824,1.104174,0.231056
4.583467,1.780322,0.388423
4.343987,2.393985,0.551103
4.285141,2.479609,0.578653
4.343179,2.477255,0.570378
4.510762,2.105582,0.466791
4.464676,1.806366,0.404590
4.603916,1.894342,0.411463
4.210348,2.691315,0.639214
3.868702,3.167514,0.818753
4.014754,2.772461,0.690568
4.438524,1.817365,0.409452
4.844628,0.474863,0.098019
4.952801,-0.328135,-0.066252
4.989863,-0.292530,-0.058625
4.771674,-1.493698,-0.313034
4.803506,-1.290330,-0.268623
4.908415,-0.821840,-0.167435
4.915719,-0.505153,-0.102763
4.913286,-0.839726,-0.170909
4.954769,-0.645120,-0.130202
4.972309,-0.525491,-0.105683
4.950044,-0.594757,-0.120152
4.920402,-0.781748,-0.158879
4.775245,-1.482240,-0.310401
4.598588,-1.743731,-0.379188
4.421826,-1.501359,-0.339534
4.873292,-1.089028,-0.223469
4.936460,-0.744389,-0.150794
4.983533,-0.340554,-0.068336
4.994308,-0.238503,-0.047755
4.916067,0.091908,0.018695
4.637566,1.273173,0.274535
2.076640,0.832966,0.401112
4.934994,0.533816,0.108169
4.756101,1.200672,0.252449
4.663242,0.548447,0.117611
4.993478,0.255300,0.051127
4.968754,0.313499,0.063094
4.943145,0.407985,0.082535
4.967918,0.565504,0.113831
