dh,dz,slope
4.960071,-0.630636,-0.127143
4.960071,-0.630636,-0.127143
4.769270,-1.138728,-0.238763
4.998788,-0.019512,-0.003903
4.997349,-0.162802,-0.032578
4.997349,-0.162802,-0.032578
4.995506,-0.172294,-0.034490
4.987169,-0.357974,-0.071779
4.987169,-0.357974,-0.071779
4.987169,-0.357974,-0.071779
4.983650,-0.308669,-0.061936
5.000000,0.000000,0.000000
4.928198,-0.506598,-0.102796
4.967344,-0.570521,-0.114854
4.970805,-0.422882,-0.085073
4.881577,0.000000,0.000000
5.000000,0.000000,0.000000
4.990808,-0.037729,-0.007560
4.985065,-0.386162,-0.077464
4.985065,-0.386162,-0.077464
4.991043,-0.089947,-0.018022
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.996962,0.021765,0.004356
4.994561,0.233160,0.046683
4.994561,0.233160,0.046683
4.994561,0.233160,0.046683
4.960523,0.242667,0.048920
4.992492,0.273905,0.054863
4.992492,0.273905,0.054863
4.992492,0.273905,0.054863
4.892005,0.626637,0.128094
4.901515,0.955277,0.194894
4.888597,1.049583,0.214700
4.888597,1.049583,0.214700
4.894444,0.706898,0.144429
4.969940,0.547445,0.110151
4.957967,0.351268,0.070849
4.894748,-1.020509,-0.208491
4.894748,-1.020509,-0.208491
4.894748,-1.020509,-0.208491
4.963910,-0.545363,-0.109866
4.987185,-0.186329,-0.037362
4.997952,-0.143108,-0.028633
4.997952,-0.143108,-0.028633
4.985628,-0.277448,-0.055649
4.905601,-0.536348,-0.109334
4.969429,-0.552065,-0.111092
4.969429,-0.552065,-0.111092
4.969429,-0.552065,-0.111092
4.969132,-0.553634,-0.111415
4.966040,-0.581762,-0.117148
4.966040,-0.581762,-0.117148
4.966040,-0.581762,-0.117148
4.966040,-0.581762,-0.117148
4.956368,-0.461876,-0.093188
4.796618,0.855989,0.178457
4.954004,0.676638,0.136584
4.433591,0.187458,0.042281
4.997008,-0.172949,-0.034610
4.997008,-0.172949,-0.034610
4.997008,-0.172949,-0.034610
4.997008,-0.172949,-0.034610
2.258868,-0.782046,-0.346211
4.497549,-0.978221,-0.217501
4.992208,-0.279021,-0.055891
4.992208,-0.279021,-0.055891
4.973506,-0.088454,-0.017785
4.972273,0.290152,0.058354
4.998679,-0.114913,-0.022989
4.998679,-0.114913,-0.022989
4.998679,-0.114913,-0.022989
4.923894,0.221776,0.045041
4.979062,0.457099,0.091804
4.979062,0.457099,0.091804
4.971352,0.390194,0.078489
4.989107,0.329858,0.066116
4.989107,0.329858,0.066116
4.989108,0.329858,0.066116
4.954523,0.236983,0.047832
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.852816,-0.219181,-0.045166
4.813805,-0.291430,-0.060541
4.995939,-0.201478,-0.040328
4.995939,-0.201478,-0.040328
4.995939,-0.201478,-0.040328
4.995939,-0.201478,-0.040328
4.998316,-0.083478,-0.016701
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.998876,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.963193,0.158771,0.031990
4.994811,0.227735,0.045594
4.994811,0.227735,0.045594
4.994811,0.227735,0.045594
4.987531,0.115849,0.023228
4.998101,-0.137783,-0.027567
4.998101,-0.137783,-0.027567
4.998101,-0.137783,-0.027567
4.720739,-0.131392,-0.027833
4.981302,-0.409269,-0.082161
4.963358,0.496184,0.099969
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.933740,-0.461359,-0.093511
4.927285,-0.849625,-0.172433
4.951293,-0.518978,-0.104817
4.981958,-0.424372,-0.085182
4.732028,-1.405787,-0.297079
4.468862,-1.757757,-0.393334
4.933773,-0.811101,-0.164398
4.933773,-0.811101,-0.164398
4.780146,-1.172895,-0.245368
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.999486,-0.071664,-0.014334
4.977587,-0.017613,-0.003538
4.997233,0.166311,0.033281
