dh,dz,slope
4.992861,-0.267103,-0.053497
4.974298,-0.232897,-0.046820
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995972,-0.198022,-0.039636
4.995967,-0.200786,-0.040190
4.999086,-0.001193,-0.000239
5.000000,0.000000,0.000000
4.989875,0.000000,0.000000
5.000000,0.000000,0.000000
4.999580,0.000000,0.000000
5.000000,0.000000,0.000000
4.987063,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.947291,0.210559,0.042560
2.857564,-2.583915,-0.904237
2.129807,-4.523706,-2.123997
2.129807,-4.523706,-2.123997
2.129807,-4.523706,-2.123997
2.129807,-4.523706,-2.123997
2.270603,-4.414643,-1.944259
3.038898,-3.970529,-1.306568
3.038898,-3.970529,-1.306568
3.038898,-3.970529,-1.306568
3.038898,-3.970529,-1.306568
4.868959,0.642922,0.132045
4.934710,0.805378,0.163207
4.934710,0.805378,0.163207
4.899363,0.997447,0.203587
4.898945,1.000170,0.204160
4.924750,0.526857,0.106981
4.996272,0.193055,0.038640
4.996272,0.193055,0.038640
4.954525,0.654926,0.132187
4.956706,0.656553,0.132458
4.943712,0.307316,0.062163
4.993625,0.252409,0.050546
4.907683,0.413296,0.084214
4.981080,0.434566,0.087243
4.945467,0.399466,0.080774
4.985973,0.374266,0.075064
4.980464,0.415988,0.083524
4.962715,0.609472,0.122810
4.962715,0.609472,0.122810
4.952561,0.685339,0.138381
4.948556,0.715396,0.144567
4.943571,0.663738,0.134263
4.998030,-0.140351,-0.028081
4.998030,-0.140351,-0.028081
4.998030,-0.140351,-0.028081
4.933450,0.441203,0.089431
4.893231,1.027759,0.210037
4.893231,1.027759,0.210037
4.894316,0.973996,0.199006
4.944286,0.744333,0.150544
4.944286,0.744333,0.150544
4.944286,0.744333,0.150544
4.935523,0.634297,0.128517
4.986326,0.369532,0.074109
4.986326,0.369532,0.074109
4.562631,-0.155557,-0.034094
4.994121,-0.242406,-0.048538
3.707061,-2.916374,-0.786708
3.465597,-3.604114,-1.039969
4.812368,-0.229103,-0.047607
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995052,-0.070501,-0.014114
4.979914,-0.447721,-0.089905
4.979914,-0.447721,-0.089905
4.978667,-0.434057,-0.087183
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.996045,0.005673,0.001135
4.977448,0.474351,0.095300
4.977448,0.474351,0.095300
4.975636,0.455428,0.091532
4.997379,0.161871,0.032391
4.997379,0.161871,0.032391
4.997379,0.161871,0.032391
4.981731,0.361333,0.072532
4.986502,0.367145,0.073628
4.988178,0.316413,0.063433
4.997357,0.162553,0.032528
4.997357,0.162553,0.032528
4.989454,0.170754,0.034223
4.997007,0.172970,0.034615
4.997007,0.172970,0.034615
4.943518,0.169593,0.034306
4.997136,0.169204,0.033860
4.997136,0.169204,0.033860
4.989922,0.168430,0.033754
4.997164,0.168382,0.033696
4.997164,0.168382,0.033696
4.995099,0.203630,0.040766
4.995811,0.204641,0.040963
