dh,dz,slope
4.999949,0.022484,0.004497
4.999949,0.022484,0.004497
4.999949,0.022484,0.004497
4.999949,0.022484,0.004497
4.764286,0.126269,0.026503
4.995573,0.210362,0.042110
4.995573,0.210362,0.042110
4.995573,0.210362,0.042110
4.995573,0.210362,0.042110
4.963064,0.517111,0.104192
4.964540,0.594428,0.119735
4.964540,0.594428,0.119735
4.964540,0.594428,0.119735
4.976138,0.123847,0.024888
4.996031,-0.199175,-0.039867
4.996031,-0.199175,-0.039867
4.996031,-0.199175,-0.039867
4.955544,-0.291937,-0.058911
4.987015,-0.360110,-0.072209
4.987015,-0.360110,-0.072209
4.987015,-0.360110,-0.072209
4.962673,-0.309117,-0.062288
4.999950,0.022404,0.004481
4.999950,0.022404,0.004481
4.999950,0.022404,0.004481
4.999950,0.022404,0.004481
4.981377,-0.123289,-0.024750
4.996192,-0.195113,-0.039052
4.996192,-0.195113,-0.039052
4.996192,-0.195113,-0.039052
4.946864,-0.034879,-0.007051
4.999257,0.086194,0.017241
4.999257,0.086194,0.017241
4.999257,0.086194,0.017241
4.999257,0.086194,0.017241
4.978204,0.276703,0.055583
4.991508,0.291281,0.058355
4.991508,0.291281,0.058355
4.991508,0.291281,0.058355
4.978076,0.325288,0.065344
4.986713,0.364278,0.073050
4.986713,0.364278,0.073050
4.986713,0.364278,0.073050
4.986713,0.364278,0.073050
4.951045,0.661955,0.133700
4.945416,0.736790,0.148984
4.945416,0.736790,0.148984
4.945416,0.736790,0.148984
4.942203,0.753362,0.152434
4.882727,1.076556,0.220483
4.882727,1.076556,0.220483
4.882727,1.076556,0.220483
4.882727,1.076556,0.220483
4.819925,1.320291,0.273924
4.802705,1.390692,0.289564
4.802705,1.390692,0.289564
4.802705,1.390692,0.289564
4.867380,0.465943,0.095728
4.988221,-0.343000,-0.068762
4.988221,-0.343000,-0.068762
4.988221,-0.343000,-0.068762
4.853783,-0.727032,-0.149787
4.855576,-1.193058,-0.245709
4.855576,-1.193058,-0.245709
4.855576,-1.193058,-0.245709
4.855576,-1.193058,-0.245709
4.895084,-0.920605,-0.188067
4.984843,-0.389030,-0.078043
4.984843,-0.389030,-0.078043
4.984843,-0.389030,-0.078043
4.984843,-0.389030,-0.078043
4.878579,1.050967,0.215425
4.878174,1.097003,0.224880
4.878174,1.097003,0.224880
4.878174,1.097003,0.224880
4.001103,0.302721,0.075659
4.994170,-0.241382,-0.048333
4.994170,-0.241382,-0.048333
4.994170,-0.241382,-0.048333
4.769574,0.253122,0.053070
4.926196,0.855918,0.173748
4.926196,0.855918,0.173748
4.926196,0.855918,0.173748
4.706407,0.569704,0.121049
4.999589,0.064128,0.012827
4.999589,0.064128,0.012827
4.999589,0.064128,0.012827
4.999589,0.064128,0.012827
4.992300,-0.197073,-0.039475
4.989870,-0.318122,-0.063754
4.989870,-0.318122,-0.063754
4.989870,-0.318122,-0.063754
4.992531,-0.215888,-0.043242
4.999808,0.043772,0.008755
4.999808,0.043772,0.008755
4.999808,0.043772,0.008755
4.999808,0.043772,0.008755
4.973757,-0.181153,-0.036422
4.992623,-0.271509,-0.054382
4.992623,-0.271509,-0.054382
4.992623,-0.271509,-0.054382
4.992623,-0.271509,-0.054382
4.964680,-0.574673,-0.115752
4.963974,-0.599131,-0.120696
4.963974,-0.599131,-0.120696
4.963974,-0.599131,-0.120696
4.946046,-0.523995,-0.105942
4.975008,-0.499301,-0.100362
4.975008,-0.499301,-0.100362
4.975008,-0.499301,-0.100362
4.929909,-0.788803,-0.160004
4.893014,-1.028790,-0.210257
4.893014,-1.028790,-0.210257
