dh,dz,slope
4.251030,0.723005,0.170078
4.999719,0.053047,0.010610
4.999719,0.053047,0.010610
4.999719,0.053047,0.010610
4.999719,0.053047,0.010610
4.999719,0.053047,0.010610
4.934790,0.323613,0.065578
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.999421,0.076071,0.015216
4.986361,-0.016734,-0.003356
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.992720,-0.269717,-0.054022
4.984177,-0.103157,-0.020697
4.997429,-0.063744,-0.012755
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.999714,-0.053449,-0.010690
4.772329,-0.042961,-0.009002
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.999972,-0.016678,-0.003336
4.945638,-0.004558,-0.000922
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.999939,0.024659,0.004932
4.994548,0.013655,0.002734
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.998340,-0.128839,-0.025776
4.984763,-0.139805,-0.028046
4.996678,-0.182216,-0.036467
4.996678,-0.182216,-0.036467
4.996678,-0.182216,-0.036467
4.799878,-0.193609,-0.040336
4.944910,-0.022309,-0.004512
5.000000,0.000000,0.000000
3.107113,-0.030273,-0.009743
4.989581,0.293219,0.058766
4.994985,0.223882,0.044821
4.994985,0.223882,0.044821
4.994985,0.223882,0.044821
4.994985,0.223882,0.044821
4.994985,0.223882,0.044821
