dh,dz,slope
4.998581,0.119094,0.023825
4.998581,0.119094,0.023825
4.998581,0.119094,0.023825
4.998581,0.119094,0.023825
4.998581,0.119094,0.023825
4.998581,0.119094,0.023825
4.998979,0.082286,0.016460
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.999988,-0.011157,-0.002231
4.986046,-0.030317,-0.006080
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.999494,-0.071125,-0.014226
4.995118,-0.059731,-0.011958
4.998675,-0.059593,-0.011922
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.999558,-0.066422,-0.013286
4.995224,-0.066416,-0.013296
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.999559,-0.066412,-0.013284
4.995593,-0.183751,-0.036783
4.992812,-0.268000,-0.053677
4.974659,-0.184213,-0.037030
4.997718,-0.151045,-0.030223
4.997718,-0.151045,-0.030223
4.997718,-0.151045,-0.030223
4.995586,-0.139310,-0.027887
4.998170,-0.135273,-0.027065
4.953997,-0.107124,-0.021624
4.999331,-0.081793,-0.016361
4.999331,-0.081793,-0.016361
4.999331,-0.081793,-0.016361
4.999331,-0.081793,-0.016361
4.997396,-0.047957,-0.009596
4.999918,-0.028588,-0.005718
4.999918,-0.028588,-0.005718
4.942334,-0.045728,-0.009252
4.997663,-0.152824,-0.030579
4.997663,-0.152824,-0.030579
4.997663,-0.152824,-0.030579
4.990280,-0.151324,-0.030324
4.997876,-0.145744,-0.029161
4.997876,-0.145744,-0.029161
4.997876,-0.145744,-0.029161
4.988090,-0.136517,-0.027369
4.999763,-0.048707,-0.009742
4.999763,-0.048707,-0.009742
4.999763,-0.048707,-0.009742
4.999763,-0.048707,-0.009742
4.984099,-0.284244,-0.057030
4.991763,-0.286894,-0.057473
4.991763,-0.286894,-0.057473
4.935499,-0.289832,-0.058724
4.991423,-0.292731,-0.058647
4.991423,-0.292731,-0.058647
4.898965,-0.161575,-0.032981
4.996098,0.197513,0.039533
4.150318,0.142861,0.034422
4.999185,0.090282,0.018059
4.995429,0.006666,0.001334
4.996245,-0.193736,-0.038776
4.996245,-0.193736,-0.038776
4.857127,-0.055491,-0.011425
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.987833,-0.078297,-0.015698
4.997141,-0.169064,-0.033832
4.997141,-0.169064,-0.033832
4.997141,-0.169064,-0.033832
4.918354,-0.162814,-0.033103
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.997758,-0.149694,-0.029952
4.987143,-0.093248,-0.018698
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.999624,-0.061263,-0.012253
4.902341,-0.094219,-0.019219
4.998994,-0.100290,-0.020062
4.998994,-0.100290,-0.020062
4.998994,-0.100290,-0.020062
4.998994,-0.100290,-0.020062
4.892225,-0.110235,-0.022533
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.998748,-0.111868,-0.022379
4.995430,-0.133293,-0.026683
4.992478,-0.274159,-0.054914
4.992478,-0.274159,-0.054914
4.992478,-0.274159,-0.054914
3.522487,-0.476055,-0.135147
4.874208,-0.065277,-0.013392
3.201542,0.220468,0.068863
4.996596,0.052624,0.010532
4.999320,-0.082501,-0.016503
4.999320,-0.082501,-0.016503
4.999320,-0.082501,-0.016503
4.998047,-0.014021,-0.002805
4.999972,0.016767,0.003353
4.999972,0.016767,0.003353
4.999972,0.016767,0.003353
4.999972,0.016767,0.003353
4.999972,0.016767,0.003353
4.966267,-0.089903,-0.018103
4.998303,-0.130241,-0.026057
4.998303,-0.130241,-0.026057
4.998303,-0.130241,-0.026057
4.998303,-0.130241,-0.026057
4.997767,-0.145865,-0.029186
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.996944,-0.174763,-0.034974
4.995598,-0.119644,-0.023950
4.999659,-0.058399,-0.011681
4.999659,-0.058399,-0.011681
4.999659,-0.058399,-0.011681
4.999659,-0.058399,-0.011681
4.980157,-0.054037,-0.010850
4.999794,-0.045439,-0.009088
4.999794,-0.045439,-0.009088
4.999794,-0.045439,-0.009088
4.999794,-0.045439,-0.009088
4.985991,-0.144149,-0.028911
4.997719,-0.151009,-0.030216
4.997719,-0.151009,-0.030216
4.997719,-0.151009,-0.030216
4.968275,-0.117365,-0.023623
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.999850,-0.038688,-0.007738
4.996034,0.004269,0.000855
4.949594,0.059810,0.012084
4.995147,-0.220236,-0.044090
