dh,dz,slope
4.997333,-0.163300,-0.032677
4.997333,-0.163300,-0.032677
4.997333,-0.163300,-0.032677
4.997333,-0.163300,-0.032677
4.997333,-0.163300,-0.032677
4.997333,-0.163300,-0.032677
4.978330,-0.451950,-0.090783
4.975666,-0.492698,-0.099022
4.975666,-0.492698,-0.099022
4.975666,-0.492698,-0.099022
4.975666,-0.492698,-0.099022
4.975666,-0.492698,-0.099022
4.990919,-0.300560,-0.060221
4.991071,-0.298686,-0.059844
4.991071,-0.298686,-0.059844
4.991071,-0.298686,-0.059844
4.959508,0.107822,0.021740
4.890160,1.042273,0.213137
4.925862,0.256894,0.052152
4.964684,-0.593223,-0.119489
4.964684,-0.593223,-0.119489
4.964684,-0.593223,-0.119489
4.964684,-0.593223,-0.119489
4.981491,-0.391036,-0.078498
4.993671,-0.251495,-0.050363
4.993671,-0.251495,-0.050363
4.993671,-0.251495,-0.050363
4.970421,-0.232619,-0.046801
4.995121,-0.220824,-0.044208
4.400962,0.297919,0.067694
4.981960,0.424350,0.085177
4.981960,0.424350,0.085177
4.981960,0.424350,0.085177
4.981960,0.424350,0.085177
4.946990,0.481723,0.097377
4.933765,0.811149,0.164408
4.933765,0.811149,0.164408
4.933765,0.811149,0.164408
4.960662,0.506069,0.102016
4.992218,0.278864,0.055860
4.992218,0.278864,0.055860
4.992218,0.278864,0.055860
4.992218,0.278864,0.055860
4.874360,0.522823,0.107260
4.947862,0.720185,0.145555
4.947862,0.720185,0.145555
4.947862,0.720185,0.145555
4.947862,0.720185,0.145555
4.918798,0.676687,0.137571
4.955192,0.667890,0.134786
4.955192,0.667890,0.134786
4.955192,0.667890,0.134786
4.935075,0.633698,0.128407
4.962105,0.614421,0.123823
4.962105,0.614421,0.123823
4.962105,0.614421,0.123823
4.773208,0.975975,0.204469
4.875816,1.107435,0.227128
4.875816,1.107435,0.227128
4.922205,0.757142,0.153822
4.973179,0.514546,0.103464
4.975101,0.498371,0.100173
4.975101,0.498371,0.100173
4.975101,0.498371,0.100173
4.975101,0.498371,0.100173
4.992910,0.202256,0.040509
4.996097,0.197539,0.039539
4.996097,0.197539,0.039539
4.996097,0.197539,0.039539
4.996097,0.197539,0.039539
4.974969,0.482921,0.097070
4.974224,0.507051,0.101936
4.974224,0.507051,0.101936
4.974224,0.507051,0.101936
4.009595,0.484479,0.120830
4.984963,0.387486,0.077731
4.984963,0.387486,0.077731
4.984963,0.387486,0.077731
4.903188,0.838570,0.171025
4.860953,1.170956,0.240890
4.860953,1.170956,0.240890
4.511765,1.061215,0.235210
4.897404,1.007685,0.205759
4.709380,1.212090,0.257378
4.836668,1.267533,0.262067
4.135128,-0.008023,-0.001940
4.551657,1.725030,0.378989
4.841754,1.247966,0.257751
4.808342,1.339469,0.278572
4.716611,1.659392,0.351819
4.305591,2.193424,0.509436
4.067484,1.999316,0.491536
4.843393,0.578812,0.119505
4.884171,0.724335,0.148302
4.883451,1.073269,0.219777
4.719280,1.241729,0.263118
4.782933,1.457242,0.304675
4.822963,1.239230,0.256944
4.902378,0.978707,0.199639
4.593530,1.974711,0.429890
4.669041,1.745155,0.373772
4.860970,1.170883,0.240874
4.724914,1.504869,0.318497
4.711186,1.674730,0.355479
4.755990,1.489405,0.313164
4.750341,1.536944,0.323544
4.710559,1.676494,0.355901
4.772336,1.291607,0.270645
4.599099,1.250993,0.272008
4.833113,1.281023,0.265051
4.783963,0.864174,0.180640
4.826608,1.305318,0.270442
4.826608,1.305318,0.270442
4.725769,1.128726,0.238845
4.904622,0.971950,0.198170
4.719458,1.276910,0.270563
4.768936,1.502416,0.315042
4.356164,1.606197,0.368718
4.673702,1.776657,0.380139
4.880806,0.960489,0.196789
4.911540,0.936366,0.190646
4.739405,1.538414,0.324601
4.742640,1.578277,0.332784
4.744969,1.256294,0.264763
4.707283,1.303103,0.276827
4.667386,1.793183,0.384194
4.660104,1.790747,0.384272
4.120478,1.548916,0.375907
4.950624,0.700940,0.141586
4.899758,0.908672,0.185452
4.726728,1.630351,0.344922
4.726728,1.630351,0.344922
4.919440,0.846416,0.172055
4.943094,0.752212,0.152174
4.872943,1.104755,0.226712
4.867241,1.144535,0.235151
4.815589,1.283367,0.266503
4.761735,1.525082,0.320278
4.790618,1.420777,0.296575
4.828059,1.299941,0.269247
4.739727,1.083482,0.228596
4.672448,0.746489,0.159764
4.916983,0.907345,0.184533
4.937271,0.722764,0.146389
4.981949,0.424482,0.085204
4.978236,0.442572,0.088901
4.875624,1.108284,0.227311
4.875624,1.108284,0.227311
4.524763,1.805359,0.398995
4.503580,1.634109,0.362847
4.847816,1.219109,0.251476
4.893572,1.026137,0.209691
4.893572,1.026137,0.209691
4.433867,1.920749,0.433199
4.803028,0.718024,0.149494
4.998131,0.136700,0.027350
4.998131,0.136700,0.027350
4.987317,0.181150,0.036322
4.848869,1.220030,0.251611
4.829163,1.176242,0.243571
4.960502,0.627236,0.126446
4.960502,0.627236,0.126446
4.960502,0.627236,0.126446
4.942402,0.682616,0.138114
4.927057,0.850945,0.172709
