dh,dz,slope
4.979778,0.449239,0.090213
4.091910,1.685514,0.411914
4.243052,0.265247,0.062513
4.002543,0.976367,0.243937
4.554533,0.923633,0.202794
2.205205,-0.393336,-0.178367
4.963993,-0.506664,-0.102068
4.922051,0.153405,0.031167
4.987724,0.350160,0.070204
4.987724,0.350160,0.070204
4.987724,0.350160,0.070204
4.982295,0.382235,0.076719
4.982069,0.423069,0.084918
4.982069,0.423069,0.084918
4.982069,0.423069,0.084918
4.982069,0.423069,0.084918
4.967645,-0.512353,-0.103138
4.968238,-0.562685,-0.113256
4.968238,-0.562685,-0.113256
4.968238,-0.562685,-0.113256
4.968238,-0.562685,-0.113256
4.969285,-0.530943,-0.106845
4.996550,-0.185726,-0.037171
4.996550,-0.185726,-0.037171
4.996550,-0.185726,-0.037171
4.996550,-0.185726,-0.037171
4.996550,-0.185726,-0.037171
4.998882,-0.055733,-0.011149
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
5.000000,0.000000,0.000000
4.995266,-0.057027,-0.011416
4.992480,-0.274132,-0.054909
4.992480,-0.274132,-0.054909
4.992480,-0.274132,-0.054909
4.992480,-0.274132,-0.054909
4.992480,-0.274132,-0.054909
4.992480,-0.274132,-0.054909
4.991041,-0.265893,-0.053274
4.994023,-0.244396,-0.048938
4.994023,-0.244396,-0.048938
4.994023,-0.244396,-0.048938
4.443560,-0.217294,-0.048901
4.999036,-0.098162,-0.019636
4.999036,-0.098162,-0.019636
4.999036,-0.098162,-0.019636
4.999036,-0.098162,-0.019636
4.952795,-0.032385,-0.006539
4.961537,0.618995,0.124759
4.961537,0.618995,0.124759
4.961537,0.618995,0.124759
4.961537,0.618995,0.124759
4.961537,0.618995,0.124759
4.956027,0.432154,0.087198
4.990564,0.307046,0.061525
4.990564,0.307046,0.061525
4.990564,0.307046,0.061525
4.990564,0.307046,0.061525
4.951867,0.379652,0.076668
4.983262,0.408780,0.082031
4.983262,0.408780,0.082031
4.983262,0.408780,0.082031
4.956663,0.469163,0.094653
4.820480,1.327767,0.275443
4.820480,1.327767,0.275443
4.815140,1.281364,0.266111
4.834671,1.275131,0.263747
4.834671,1.275131,0.263747
4.831147,1.224325,0.253423
4.802123,0.963589,0.200659
4.892463,1.031410,0.210816
